,email_body,subject_line
2381,"This Sunday, starting at 5:00 AM, Emergency Power Systems for the WTC Complex will shut down to test the emergency backups.
This will not affect critical systems (computer room, phones, or the Real Time Group), as they are on both UPS and Generator.
It will affect many of the non - critical computers and office machines on the 3rd and 4th floors of Enron.
Please make every effort to power down all of your PC's and monitors when you leave for the day.
Also, if you could help with a machine or 2 in your immediate area we would appreciate it.
The IT group will be coming through around 4-4:30 today to power down equipment not in use and I will be in before the outage on Sunday to complete this.
If you have any questions or concerns, please contact the IT dept.
at any time.
Regards
",WTC Power Testing
2382,"Attention Outlook User: You are receiving this message to alert you that at 9:00 a.m. CST, Saturday, October 20th the Exchange server that your mail file resides on will be taken down for emergency maintenance for approximately one hour.
During this outage, access to your Outlook client including email, calendar ,contacts and public folders will be unavailable.
In addition, access to your email via OWA (Outlook Web Access) will also` be unavailable.
Messages intended for delivery will be queued and delivered once the server is back online.
If you need additional assistance, please call the resolution center at 3-1411.
We apologize for the late notice and appreciate your continued support.
Thanks,
",Outage Announcement
2383,"For Saturday:  STWBOM will be long 20 mw HE 2-5 @ PV due to a parking deal with PNM.
Day-ahead price is $15.50.
Make real time sales to take care of this length under the STWHOURLY book.
Enter an inter-desk purchase from STWBOM under the STWHOURLY book.
For Saturday and Monday:  STWBOM will be short 50 mw on peak @ SP15.
Day-ahead price is $27.60.
Make real time purchases to cover the short under the STWHOURLY book.
Enter an inter-desk sale from STWHOURLY to STWBOM.
Then make a sale under the STWBOM book to the Cal-Imbalance to complete the deal.
For Saturday and Sunday:  STNW will be short 44 mw off peak @ PGE System due to a lending deal with PGE.
Day-ahead deals are at the Mid-C Index.
Make real time purchases and any transmission necessary to cover the short under the STWHOURLY book.
Enter an inter-desk sale from STWHOURLY to STNW.
Link real time purchases to STNW deal 828626.
",Positions for the weekend - READ THIS
2384,"Group,  Wheelabrator Martel (MARTEL_2_AMFOR) went down at approximately 1330 PPT on Monday, 10/22.
They are expected to be down through HE2 Wednesday, 10/24 while fixing a tube leak.
Please purchase 10mw for them through HE2 on Wednesday, NP15.
Thanks,
",Wheelabrator Martel Outage
2385,"In California -  STWBOM is 50 mw short on peak @ SP15.
Day-ahead price is $27.60.
Purchase to cover the short under the STWHOURLY book.
Complete an inter-desk sale from STWHOURLY to STWBOM and enter a sale to the Cal-Imbalance under STWBOM to complete the deal.
STCALI is 48 mw long off peak @ SP15.
Day-ahead price is $21.54.
Purchase from the Cal-Imbalance under STCALI.
Enter an inter-desk purchase from STCALI under the STWHOURLY book.
In the Northwest -  STNW is 22 mw short on peak @ Mid-C.
Please purchase to fill this short at PGE System under the STWHOURLY book and enter an inter-desk sale to STNW.
This lending deal is in through Thursday.
Please let me know if you have any questions.
",Positions for Tuesday
2386,"Group,  The Enron Derivatives II will be on Wednesday and Thursday, November 14th and 15th.
The class is open to those who took Derivatives I earlier this year.
Please see me or send me an email if you are interested and we will make scheduling arrangements.
Thanks,
",Derivatives II
2387,"Group,  Just wanted to give you a heads up on Arco.
They have been in a maintenance outage for the past 3 weeks, and they might come back up sometime Tuesday evening (10/23) or Wednesday morning (10/24).
If they do, they will have approximately 26mw to sell into the market, in SP15.
Thanks,
",Arco Heads Up
2388,"Chris Calger and I will be holding a series of meetings with employees today and tomorrow to communicate what we know about how the merger with Dynegy will impact the West power operations in Portland and San Francisco.
Chris will meet with his team this morning at 9 AM in the Mt.
Hood conference room.
All employees who report in to Chris' organization should attend this meeting.
In addition, Structuring, Renewables, Human Resources, and the 4th Floor Legal team should plan to attend Chris' meeting.
Tim will meet with his team this morning at 10 AM in the Mt.
Hood conference room.
All employees who report in to my organization should attend this meeting.
In addition, Risk, Credit, IT, Government Affairs, and the 3rd Floor Legal team should plan to attend Tim's meeting.
If you are unsure which meeting to attend please ask.
We realize that many people are out today due to the Veteran's Day holiday (no cash trading or scheduling today).
We will have another meeting tomorrow morning for people who were unable to make it to meetings this morning.
We will announce the time and place of that meeting soon.
We recognize that the last couple of weeks have been unsettling for many people.
Our goal over the next couple of days is to get back to business as usual.
There are no mandatory layoffs planned for this office.
Chris and I met with John Lavorato, Louise Kitchen, and Greg Whalley over the weekend.
Their marching orders were clear -- go back to Portland and get back to work!
As we mentioned in the all-employee meeting a few weeks ago, this office has a reasonable cost structure and is very profitable.
",What Does the Dynegy Merger Mean for West Power?
2389,"All,  We will be offering monitors for sale again in the Portland Office.
We have a variety of monitors for you to choose from.
Older 17' units - $10 Newer Compaq 17' units - $20 Older 21' units - $25 Newer Compaq 19' units - $35  Please respond to this email with the type of monitor you would like to purchase.
Will have a lottery type drawing on Friday Morning.
By Friday afternoon, you will be notified that you can come by and pick out your monitor.
We need to have all monitors picked up and removed my Friday the 2nd.
After that, all remaining monitors will be donated to charity.
Regards,
",Monitor Sale
2390,"Open Enrollment for your 2002 Health Benefits begins Monday, October 29, 2001!
Q.
WHAT DOES THIS MEAN?
A.
If you plan to make changes to your existing benefit coverage, you will need to make changes during Open Enrollment which begins 	Monday, October 29, 2001 at 8:00 AM (Central) and ends on November 12, 2001 at 5:00 PM (Central) 	 	To facilitate these changes, you received an Open Enrollment Benefit Packet at your home address.
This packet contains a personalized 	worksheet and the Enron Instruction Guide to help you make your selections.
(If you have not received your Info Packet, please let us know ASAP! )
Q.
WHAT DO I NEED TO DO?
1.
If you are satisfied with your current elections and do not need to make changes, do nothing.
Your current choices will automatically roll 	over to 2002.
2.
If you plan to make changes to your coverage, you will need to either access the Intranet website at work:  benefits.enron.com     	or at home at  www.Enron.BenefitsNow.com   or call the Phone Enrollment Line at (800) 332-7979, Option 5.
Q. 	I HAVE MORE QUESTIONS.
I NEED MORE INFORMATION.
A.
If you have more questions or need more information, you may attend our Open Enrollment ""Brown Bag"" Info Session being held on Friday, 	October 26 @ 11:30 PM in the Mt Hood Conference Room.
See you then!
EWS Portland HR Office Julie Kearney x7404 Grace Rodriguez x8321
",Open Enrollment for Benefits
2391,"Attached is a copy of a sample letter which we are sending to selected vendors of Enron Corp. and its subsidiaries as an additional step toward implementing our commitment to conduct our business affairs in accordance with the highest ethical standards.
We are sending you a copy of this letter so that you will be aware that your vendors will be receiving this letter and so that you will be reminded that Enron does enlist the cooperation of its vendors in adhering to its Business Ethics Policy.
We appreciate your efforts in contributing to an Enron work environment of which we can all be proud.
******************************************************************************************************************************  SAMPLE  November ____, 2001
",Conflict of Interest Policy Mailing to Vendors
2392,"I bought 8mw of SP15 from Gas recovery systems and built the purchase in CAPS with the APX.
It is 8mw HE 9-17 @29 dollars.
We also had Arco come back up and they need to be sold or used to cover a short, it is 26 mw in SP15 and the gen schedule is already built in CAPS for 10/24 and 10/25.
They are up around the clock and need to recieve fair market price for their generation.
",APX LENGTH FOR 10/25 & ARCO LENGTH FOR 10/24-25
2393,"Group,  Arco (CARBGN_6_UNIT) has come back up and they are running at full power.
Please sell 26mw, SP15, through HE24 on Thursday (10/25) for them.
They have a preschedule of 26mw beginning HE1 on Friday (10/26).
Thanks,
",Arco
2394,"Hello again!
You have been identified by your manager (and Amy FitzPatrick) as a target participant for the Trick of the Trade/Energy Math course.
Please see below for course information and confirm your attendance by no later than Wednesday, October 31st, 2001.
If you have any questions, please let me know!
Thanks,
","PLEASE RESPOND: Training Opportunity--Tricks of the Trade  (Thursday, November 8, 2001)"
2395,"If you work in West Power Trading, congratulations!
All West Power Trading employees are eligible to receive a pair of tickets to a Blazers game this season, compliments of Enron.
If you are interested in getting a pair of tickets to a Blazer game, come by Mt.
Hood Conference Room at 11:30 a.m., Monday, October 29.
If you are unable to attend, ask your manager or another employee to represent you in the drawing.
We will draw employee names from a hat (or container) to determine the order of selection.
When your name is drawn, you can sign up for the date that works best for you by signing your name next to the available date on the signup sheet.
You will have one minute to write your date selection on the signup sheet.
Guidelines for using the tickets are as follows.
- Eligible employees can receive a pair of tickets.
- The employee who is given the tickets must attend the game.
- Tickets cannot be sold or given away.
- The guest can be a friend, spouse, or another Enron employee.
- If the employee cannot attend the game, the tickets must be returned to me or Debra.
- Any complaints about this process or the guidelines will result in forfeiture of tickets.
Call me or Debra if you have any questions.
","Get Your Blazers Tickets (See Instructions) - Mt. Hood, October 29;  11:30 a.m."
2396,"Group,  Just wanted to let you know that Arco (CARBGN_6_UNIT) will have 3mw that needs to be sold HE1-24 on both Friday and Saturday, SP15.
They are prescheduled at 26mw, but they will be producing a total of 29mw.
Thanks,
",Arco Schedule
2397,"Group, We are still short 50 mws in ST-WBOM on peak Friday and Saturday at $27.60.
For Friday only (as of right now) I have picked up 10 mws of energy flat (24hr schedule).
I bought this energy from the APX-deal #840719 at $25.
We will be long 10 mws each hour in position manager in SP-15 as a result.
Please sell this energy in the off-peak (on-peak will go to fill our W-BOM short).
I have scheduled an HA 24 purchase from the APX 1 and have put the energy into the ST-WBOM load zone.
",Long 10 mws flat in SP-15--
2398,"I will be drawing names in about one hour for the monitor sale.
If you'd like to get your name in the drawing, and haven't had a chance to send me an email, please do.
Here is the price breakdown again:  Older 17' units - $10 Newer Compaq 17' units - $20 Older 21' units - $25 Newer Compaq 19' units - $35  Regards,
",Monitor Sale
2399,"I have placed a AT&T Wireless statement for Nov.15-Oct.14 for each individual in your mail slot.
PLEASE take a look at this and make sure you are on the plan you would like to be on.
Bill has agreed to pay in full this statement that you are receiving.
The NEXT invoice we receive Oct.15 through Nov. 14 (usually arrives on 24th of each month) YOU WILL BE RESPONSIBLE FOR PAYING WITHIN 10 DAYS ANYTHING OVER $60.00 ON YOUR ACCOUNT.
Personal checks will have to be made out to Enron North America for the differences.
Also if you are working the night shifts and won't be seeing me for a while please make sure you have your check to me within 10 days.
You can place this in my mail slot in an inter-office envelope.
I will place your statement for each month in your mail slot along with e-mailing you the charges if any over $60 that will need to be paid.
Bill has agreed to pay $60.00 out of Real Times cost center for each individual for each month.
Please remember you can change your plan at any time, you just have to let me know.
",PLEASE READ!!  AT & T WIRELESS ACCOUNT
2400,"TEAM:  PLEASE SEE THE NEW SCHEDULE FOR NOVEMBER.
I MADE A FEW CHANGES TO ACCOMMODATE THE TRAINNING SCHEDULE FOR DERIVATIVES II AND ""TRICKS OF THE TRADE MATH.""
BERT MEYERS
",NOVEMBER SCHDULE
2401,"Group, As most of you are aware we changed time zones on Sunday.
We are back in Pacific Standard Time.
As such, we are once again in a different time zone than some of our counterparties.
Please specify Pacific time zone in your summary of your deal at the end of each phone call--translate the deal to Mountain time only if necessary.
We must be very clear on this going forward or disputes will be numerous and we will not be able to resolve them.
See me if you have any questions regarding this expectation.
",Time Change
2402,"Group,  Wheelabrator Martel (MARTEL_2_AMFOR), NP15, suffered an outage around 0630 PST Monday morning, 10/29.
They are expected to be down for the balance-of-Monday and for most of Tuesday.
They are prescheduled at 10mw for both days.
So please purchase 10mw for them for the remainder of Monday, and for most of Tuesday.
I will talk to whoever is on the Tuesday day shift regarding how long they need power for on Tuesday.
Thanks,
",Martel Outage
2403,"Group- Brace yourselves... Once more we are experiencing seasonal changes.
The time zone change has pu= shed the evening peak back to HE 18 through HE 19.
These hours are now prem= ium, the load curve no longer resembles a rolling hill but has an extreme m= orning ramp and an extreme evening ramp.
Both EPE and the CAISO in NP-15 wi= ll have difficulty with this evening ramp.
Do not count on the EPE load for= ecast to accurately identify the evening ramp.
We should not suck off the g= rid.
Pay the extra $3 for firm or unit contingent power in the SW. We need = to attack the evening peak early and make sure we cover it.
We should be us= ing congestion wheels as hedges.
A 200 mw import requires a 200 mw wheel go= ing in the opposite direction at $0.10--or less--we should not do 50 mws at=
",Evening Peak and MEETING NEXT TUESDAY at 4:30.
2404,"Multiple IT systems are being affected by a virus outbreak in Houston.
home.enron.com enpower is being affected (General SQL Error) some Houston based Excel sheets not saving   We will keep you informed.
Dave Steiner
",Major outages in Houston affecting Systems in Portland
2405,"Thanks for all your hard work!
Lunch will be provided on Wednesday, September 19, by Tim Belden and Chris Calger to everyone on the floor as a thanks for all you've done for Enron this month.
Enjoy!
","F R E E  Lunch - Wednesday, Sepember 19"
2406,"Roger called to inform us that they will be doing a 5MW payback HE7 on.
It will come in the scrape as a firm schedule and there will be no schedule in the model.
Check tags EPE1152 and EPE1153 for more information.
Thanks,
",El Paso Payback for 9/19
2407,"We are short at PGE system for 9/19/01.
HE15-18pdt, we are 25mw short.
HE 19-20pdt, we are 26mw short.
This is due to a lending deal done by the NW Cash desk.
Please supply Portland at their system in the most cost effective manner possible.
The sale deal number is 779466.1.
Also, Sean Crandall indictated he would be providing Bill Williams III with more information.
Thanks,
",Short at Portland System for 9/19/01.
2408,"Everyone,  As we stated earlier, this particular virus that is on the internet is causing a lot of issues for Corporations.
As a result, the companies who write anti-virus software are continuously updating their software.
As of this morning, another update has been made available to us.
This update does a better job of protecting your PC than the update we received last night.
At this time, it is extremely important that you again go through one of the procedures listed below to get the latest update.
1.
Logout of the network and log back in or  2.
Click on START>PROGRAMS>ACCESSORIES>Norton AntiVirus Corporate Edition and then click the Live Update button.
This will pop up a screen where you will have to click the ""Next"" button and then a ""Finish"" button.
- If you are an EES user, this option is not available to you.
Please use option 1.
The proper version of the update pattern you need is:   (9/18/2001, version 30918BL) - You may need to restart the Norton Anti-Virus client if you want to visually insure that you have the latest update.
If you have questions or concerns, please direct them to your Resolution Center.
Enron Global Technology
",Update to Virus Protection Software #2
2409,"FYI -  We'll need to pay APS back for transmission line losses incurred on 9/17.
Please send them 3 mw during one heavy load hour tomorrow - losses were incurred HE 8, but may be paid back at anytime on-peak.
They need the energy delivered at either PV or 4C.
Make purchase and sale under STWHOURLY, and please tag this payback as well.
Let me know the relevant deal & tag numbers, and I will convey these to APS.
Thanks.
",APS Line Loss Payback - 9/21
2410,"We are short at PGE system for Monday, 9/24/01.
HE1-6 , 23-24pdt, we are 100mw short.
This is due to a lending deal done by the NW Cash desk.
Please supply Portland at their system in the most cost effective manner possible.
Deal #785375.1  We are long at PGE system for Monday, 9/24/01.
HE7-10 at 47mw, HE11-14 at 46mw, HE15-20 at 21mw, and HE21-22 at 46mw.
Please sell from Portland system.
Deal #785376.1  Thanks,
","Interesting Monday, 09/24.  We are long and short."
2411,"Please retrieve a pwx tag for one of EPE's schedule for the 24th on Sunday 23rd for EPE checkout purposes.
Pwx creates their tag the day before.
Please include this tag number in EPE scheduling sheet for the 26th.
The schedule is highlighted in ""Pink"".
Thank You.
",EPE SCHEDULE FOR SEPTEMBER 24TH
2412,"We are short at PGE system for Tuesday, 9/25/01.
HE1-6 , 15-20, and 23-24pdt, we are 25mw short (total of 350mw short).
This is due to a lending deal done by the NW Cash desk.
Please supply Portland at their system in the most cost effective manner possible.
Deal #787190.1   Thanks,
","Lending at PGE System for Tuesday, 09/25/01."
2413,"Here is the link to the T&D Model.
J:/rates&tariffs/texas/T&D estimates.xls.
Apparently you have to do individual INS requests through your IT group, in order to gain access to this drive and folder.
If you have any questions regarding the inputs or outputs of the model, please call or email Ken Farrar.
He is the one who developed it.
Thanks.
",T&D Model
2414,"Linda Trexler from Headsets Unlimited is in the office at the moment.
If anyone needs any equipment or has a problem with the equipment you have now, please let me know so I can have her come meet with you this morning.
Thanks, Jill
",Headsets
2415,"We are long at PGE system for Wednesday, 9/26/01.
HE7-13 at 46mw, HE14 at 45mw, HE15-20 at 25mw, and HE21-22 at 46mw.
Please sell from Portland system.
Deal #789284.1.
This is due to parking by the NW Cash desk.
Thanks,
",Length at PGE system for 9/26.
2416,"Residuals strike again!
Contributions from ALL have helped to once again throw great memories into the wind.
What a grand way to start Fall!
Thanks for those that sqooshed the beans 'tween their toes, extreme cooks, dessert visionaries, dishwashers, crepe makers, beach walkers, saggers and drivers.
And oh you hill climber/bike riders...   Memory makers all!
Remember, you can NOT get this kind of service/savings at any HOTEL  6!
things we learned:  wasps down our shirts are painful!
If your bike is not moving you will fall.
2 wrongs (lefts?)
CAN make a right!
Stop to pee on the uphill or at the top!
the 'Draft' can be a good thing.
Shootin' stars, like the truth, 'is out there'.
Ibuprofen is your friend!
Now to take a moment for your own personal thoughts...   OK---now for the cold hard facts, a drum roll please!
Attached is the spreadsheet as it currently stands.
If there are mistakes, omissions, overages, underages...just plain bad spreadsheetin' please to tell.
If your amount is in red or not in (  ) pay the piper.
If you are in the (black) the check is in the mail!
",beach bucks and sense...
2417,"Attached is the current template for the ERCOT power swap transaction.
You would substitute ""South"" or ""West"" in lieu of ""North"" if one of the other zones is to be used.
Please let me know if you have any questions or comments.
Regards,
",ERCOT Zone North 2001
2418,"PLEASE CONFIRM THE FOLLOWING DELAYED TAGS AT 4C345  --DUE TO SOME MISCOMMUNICATION DURING PRESCHEDULE, THE TAGS HAD TO BE CANCELLED.
THESE SCHEDULES ARE PHYSICALLY FLOWING AND THE DELAYED TAGS ARE OUT THERE FOR YOU TO CONFIRM.
THE SCHEDULES AND DELAYED TAGS ARE LISTED IN THE EPE SCHEDULING SHEET--THEY ARE HIGHLIGHTED IN PINK.
",EPE SCHEDULE AT 4C345 - HLH -DELAYED TAGS - September 26th
2419,"I will be out of the office from Wednesday through Friday.
Please refer trading questions to Ryan Slinger or call me on my cell phone...503-887-3449.
Thanks,
",Out of the office
2420,"Before I leave today, I just wanted to say what a great experience it has been working in Portland over the last 15 months.
I have learned so much and am amazed at what a motivated and talented team we have.
I will miss all of the friendships I have made and wish everyone the best of luck and success.
If you are ever in Houston, please give me a ring!
Take care - Amy
",Good-Bye!
2421,"Group,  Just wanted to give you an update on the Wheelabrator Martel outage.
They are currently only producing 9mw (they are prescheduled at 13mw), and we are selling them 4mw back real-time in order to cover their preschedule.
I just spoke with Mike Burt at the plant, and he said that they will continue producing 9mw through HE4 on Thursday, 9/27.
Beginning HE5, they will be going down to 0mw, so at that point we need to sell them 13mw, through HE16.
At that point in time they should be back to full power and producing 13mw (their full preschedule).
I'll keep you posted on any changes.
Thanks,
",Martel Outage
2422,"FYI -  We now have access to a program that should help us to use Deal Blotter as a viable tool for online trading.
As you know, no more than one trader may access a given blotter at one time (""Trader ID locked"" error message).
Instead, DEAL TICKER can be used by those members of the group not currently trading online, as it allows all users read-only access to STWHOURLY deals done on EOL.
It also features a handy ""refresh"" function which will allow you to see Real Time deals in a real time fashion.
Here's how to use Deal Ticker:  1.
Open DEAL TICKER from the Enpower Launch Pad 2.
Click the big plus sign 3.
Under desk, specify ""EPMI Short Term West Hourly"" 4.
Specify correct date and time zone 5.
Select ""Group 1"" deal type (Cash Forwards & Index Forwards) 6.
Select ""Show EOL ID"" 7.
Click OK  You should see a format similar to the blotter on your screen within seconds.
From there you can monitor STWHOURLY online trading regardless of who's doing it by hitting the ""Refresh"" button periodically.
Please let me know if you have any questions about this.
",Deal Blotter Problem Solved
2423,"We currently have an opening for a Specialist / Sr Specialist in Volume Management reporting to Scotty Gilbert.
The position is a Dispute Resolution Coordinator and the description is outlined below.
For more information about this opening or the Volume Management Group, you may attend our Info Session being held in the Mt Hood Conference Room tomorrow, 9/28/01.
If you are interested in applying for this position, please contact Julie Kearney by close of business, Tuesday, 10/2/01.
",Volume Management Opening
2424,"Thanks to the ENA Portland office and the West Origination San Francisco office we raised $10,812 (w/Enron match) for disaster relief efforts.
The funds will benefit the following charities:  v	American Red Cross Disaster Relief v	Cantor-Fitzgerald Relief Fund v	NY Police and Firefighters Widows and Children's Fund v	United Way Sept. 11th  Fund  I will be mailing the checks tomorrow, this is your last chance to participate.
Thanks again for your support!
",THANK YOU!
2425,"I will be out of the office on vacation Oct. 1st (Monday) through the 8th (Monday) and will return back in the office on Tuesday the 9th.
For any assistance during my absence please see Anna.
She will be able to help you with expense reports, business travel,  conference room booking and any other needs you may have while I am away.
For assistance with cell phones please see Kathy Sheppard.
If an issue can wait until I get back then please come see me on the 9th and  I will be happy to help.
",Out of Office
2426,"RT Traders,  As of Oct. 1, 2001 Grays Harbor Paper is no longer available for merchant sales as they are now under a long term contract with Grays Harbor PUD.
Over the weekend 9/28 - 9/30 Morrow Power may call to have the RT group sell hourly between 22 - 25 Mw's.
This is a new Gas fired unit located in Boardman.
I've put a sheet in the Services book showing the account numbers for transmission.
Morrow needs to sell at the best price but their costs are between $21 - $23.00.
Morrow Power is a valid conterparty in Enpower.
Feel free to call me if there are any questions.
Regards,
",Grays Harbor/Morrow Power
2427,"Top of the morning to ya  Yes its true !!
Some have heard the rumor but have no fear "" Stumptown  bike and brew "" is coming to a neighborhood near.
We did a ""test ride"" the other weekend and this drunken  debacle proved to be quality mahem for sure.
Just to give you an idea for Saturday.
The test ride  was out to Alameda Brewery, Lauralwood brewery, Moon and  Six Pence, Goodfoot and then ""we closed up Dots"".
You can meet us while on the ride if 3 is a bad time,  we'll be out for the night.
Any questions, give a call,  Cheers,
",Oct. 6 Bicycle Pub Crawl and Maylay (fwd)
2428,"I met with the Research team responsible for building a model for EES and ran through the model.
The model can be used to value ERCOT deals or at least we can use it as a benchmark for pricing.
I have attached a document that summarizes what EES is using the model to price, and how we can use it to price our deals.
I am out tomorrow but will be back in the office Wed. morning.
Research is looking at historical ERCOT prices and customer load data (TXI).
I will set up a meeting on Wednesday to further discuss the model and other issues associated with deal valuation.
Call me on my cell if you need to reach me, (832) 275-8212     Regards
",Valuing ERCOT Industrial Load
2429,"STWBOM is 50 mw short on peak @ SP15.
Purchase to cover this under the STWHOURLY book and enter an inter-desk sale to STWBOM.
Day-ahead SP15 heavy load price is $28.54.
Please let me know if you have questions.
",Short Position for Tuesday
2430,"Group,  I was informed this afternoon, around 1530 PDT, by Mike at the ISO, that Harbor's wavier rights were taken away due to higher than normal loads expected for tomorrow, Tuesday 10/2.
So, we need to put in supplemental energy bids in for both Harbor units, HARBGN_7_UNITS (80mw) and HARBGN_7_PL2X3 (17.9mw).
Please submit bids as soon as possible, at least by HE20 Monday, 10/1, going through HE24 on Tuesday, 10/2, for both units, at the real-time price cap, of $91.
If the ISO hits the bid, go ahead and accept the bid, and then call the control room to tell them to ramp up.
Thanks a bunch,
",Harbor Supplementals
2431,"We currently have an opening(s) in the Utility Risk Management (URM) group reporting to Steve Swain.
Based upon the candidate skill level, the opening(s) will be at the Specialist, Sr.
Specialist or Analyst level.
Responsibilities will include: Building and maintaining forward price curves for a number of utility tariff rates across the WSCC.
Tracking and analyzing URM's portfolio of retail positions.
Preparing daily reports for management that analyze various factors contributing to changes in positions, P/L, hedges, etc.
Performing research and analysis on legislative and regulatory changes that could impact our price cuves and/or positions.
Working closely with the Retail Gen desk to coordinate activities involved in managing EWS's overall retail position.
Research to support the development of effective hedging strategies for the various risk exposures inherent to the URM book.
The ideal candidate(s) will possess sound Excel modeling skills (including at least superficial knowledge of Visual Basic), some familiarity with database systems and/or experience collecting and analyzing large amounts of data, excellent organizational skills, and a solid understanding of financial statements.
While some experience with regulated tariffs and utility cost of service modeling would be helpful, it is not necessary.
For those interested in learning more about the position, or about URM in general, Steve Swain and Gordon Savage will be hosting a Brown Bag Info  Session on Friday, 10/5 from 12-1 PM in Mt.
Hood.
If you are interested in this opportunity, please let Julie Kearney know by close of business on Friday 10/5.
",URM Opening
2432,"We are short at PGE system for Wednesday, 10/03/01.
HE7-22pdt, we are 25mw short (total of 400mw).
This is due to a lending deal done by the NW Cash desk.
Please supply Portland at their system in the most cost effective manner possible.
Deal #799806.1  Thanks,
","Short due to lending at PGE System for Wednesday, 10/03."
2433,"FYI -  We will be paying back line losses to APS tomorrow @ 4C - 1 mw @ HE 6, 1 mw @ HE 11.
I've gone ahead and prescheduled this payback to ensure that it gets tagged.
All you have to do is make sure this makes it into the El Paso model (EPE is the source).
Following are the deal and tag numbers, just in case.....  Deals - 800427/800467 Tag - 34307  Again, no need to do anything for this.
Just put in in the model.
And let me know if you have questions.
",APS Line Loss Payback
2434,"Please note:  No Eddy Tie or any light load schedules flowing for the 3rd.
If there are any question regarding this please call Tony at Elpaso.
His cell number is (915)543-4181.
Thank You.
lisa
",EPE SCHEDULE - Oct 3rd
2435,"I will be out of the office visiting El Paso Electric and PNM through Friday evening.
Please see Ryan with any questions regarding trading.
I can be reached on my cell phone at 503-887-3449.
Thanks,
",Out of the Office
2436,"The fees that we charge for marketing EES has been revised and will take effect 10/4/01.
The new fees are as follows:  	1-100mw's=$3 fee 	100-200mw's=$4 fee 	over 200mw=$5 fee  Please note that if we market 101mw's for EES then we charge them $4 on the whole 101mw's for a total fee of $404.
Also if we were to market 201mw's for them then the total fee would be $1005 dollars.
In other words if they go over a the limit on one fee then we charge them the higher fee on all the mw's.
thanks,
",NEW EES FEES
2437,"Enpower to Caps is going to be out for HE 15.
We sold 25mw to Allegheny in SP however IT has not yet built an APX5 counterparty in caps so I put it in APX1 and then changed the template to send it and balance.
thanks,
",Enpower to Caps for 10/3/01
2438,"Diane has passed her 5 year mark with the company, and as such is entitled to all the rights and priviledges of a veteran.
Please congratulate her with me and come admire her gift!
Cara
",Please Congratulate Diane Cutsforth on her 5 Year Anniversary with  Enron
2439,"Group,  Morrow Power came on line today to sell 24mw, for 24 hours, for testing.
They began, Thursday, 10/4, HE13, and will run through HE12 on Friday, 10/5.
Please sell for the best price possible.
You will also need to call in to BPA numbers desk, transmission,  and real-time (just like you did for Grays Harbor and Frontier).
Also, BPA has been calling a few times today to ask us to schedule losses for control area reserves from Morrow, Grays Harbor, and Frontier.
If they call again, please tell them that we are not responsible for the scheduling of Grays Harbor any more, and we are working on dispute resolutions for Morrow and Frontier.
Once we get the resolutions worked out, and if we still owe them losses, then we will return them at that time.
Thanks,
",Morrow Power
2440,"In order to bring better legal coordination and standardization to Enron's Risk Assessment and Control (RAC) group, we have formed a new legal group, which will initially include Lisa Mellencamp (Finance), Marcus Nettelton (Power Trading), Carol St. Clair (Broadband/Power Trading), Mary Cook (Financial Swaps), Peter Keohane (Canada), Ed Essandoh (Retail), Paul Darmitzel (Retail) and Elizabeth Sager (Power Trading) (Team Leader).
This group will focus on, among other things, managing Enron's exposures with bankrupt counterparties, working out credit solutions with distressed counterparties and standardizing our overall credit practices.
The initial members in this group have been drawn from Enron's numerous legal groups in order to gain a broader perspective.
Each of these members will provide support to this new group in addition to their current responsibilities.
Within RAC, Michael Tribolet will focus on distressed counterparties, in conjunction with Bill Bradford, who continues to manage the Credit Risk Management group.
Please join us in supporting the efforts of this new group.
",New Legal Team to Assist RAC
2441,"Guys,  Wheelabrator Martel (MARTEL_2_AMFOR) went down Friday morning (10/5), and is expected to be down for several days.
They have prescheduled through HE24 on Saturday (10/6).
So please buy-back 13mw for them, through HE24 on Saturday, NP15 (10/6).
Thanks a bunch,
",Wheelabrator
2442,"Hello!
You have been identified by your manager (and Amy FitzPatrick) as a target participant for the Trick of the Trade/Energy Math course.
Please see below for course information and confirm your attendance by no later than Wednesday, October 31st, 2001.
If you have any questions, please let me know!
Thanks,
","Training Opportunity--Tricks of the Trade (Thursday, November 8,  2001)"
2443,"You are invited to attend the following presentation:   PSIM: A Power Simulation Tool  PSIM is a proprietary model developed by Enron Research Group.
?
It takes Power, Gas, Weather and demand information into consideration and  	uses Monte-Carlo simulation to assess the expected deal value and risk distribution.
?
It evaluates complex electricity related contracts such as Full Requirement  and load following contract.
?
It also provides a valuation tool for power assets and asset management deals.
?
It works for both deal specific or portfolio issues.
In this presentation we will show how the model can be used to deal with various types  of contracts, explain the model structure and point out further applications.
",Presentation Announcement
2444,"Hi  I have consolidated my notebook w/ the West Service notebook.
You will find the cash sheets in front of the west service inf0rmation.
Also, there are two new notebooks.
One says Schedule in red and the other says Schedule in blue.
",New Notebooks !
2445,"One of our employees has contracted shingles.
Although this condition is contagious, it is fairly difficult to contract.
If you have concerns about this announcement, please come by and see me.
Julie K x7404
",Health Notice
